filename,width,height,class,xmin,ymin,xmax,ymax
DJI_0877-0-00-08-068.jpg,1613,907,car,1,635,18,653
DJI_0877-0-00-08-068.jpg,1613,907,car,98,637,161,661
DJI_0877-0-00-08-068.jpg,1613,907,car,32,637,97,662
DJI_0877-0-00-08-068.jpg,1613,907,car,169,629,242,662
DJI_0877-0-00-08-068.jpg,1613,907,car,254,632,314,658
DJI_0877-0-00-08-068.jpg,1613,907,car,540,606,604,634
DJI_0877-0-00-08-068.jpg,1613,907,car,420,639,472,664
DJI_0877-0-00-08-068.jpg,1613,907,car,496,635,554,666
DJI_0877-0-00-08-068.jpg,1613,907,car,737,552,784,610
DJI_0877-0-00-08-068.jpg,1613,907,car,556,557,612,582
DJI_0877-0-00-08-068.jpg,1613,907,car,1300,611,1358,640
DJI_0877-0-00-08-068.jpg,1613,907,car,765,700,791,773
DJI_0877-0-00-08-068.jpg,1613,907,car,703,795,726,853
DJI_0877-0-00-08-068.jpg,1613,907,car,703,865,727,907
DJI_0877-0-00-08-068.jpg,1613,907,car,837,564,893,586
DJI_0877-0-00-08-068.jpg,1613,907,car,940,642,993,669
DJI_0877-0-00-08-068.jpg,1613,907,car,1006,643,1066,671
DJI_0877-0-00-08-068.jpg,1613,907,car,1433,615,1492,643
DJI_0877-0-00-08-068.jpg,1613,907,car,1164,644,1220,671
DJI_0877-0-00-08-068.jpg,1613,907,car,1244,648,1305,671
DJI_0877-0-00-08-068.jpg,1613,907,car,1326,647,1384,674
DJI_0877-0-00-08-068.jpg,1613,907,car,1414,681,1445,727
DJI_0877-0-00-08-068.jpg,1613,907,car,1454,686,1486,737
DJI_0877-0-00-08-068.jpg,1613,907,car,1491,673,1530,736
DJI_0877-0-00-08-068.jpg,1613,907,car,1550,645,1613,674
DJI_0877-0-00-08-068.jpg,1613,907,car,1154,580,1215,605
DJI_0877-0-00-08-068.jpg,1613,907,car,1219,545,1282,575
DJI_0877-0-00-08-068.jpg,1613,907,car,1559,512,1607,568
DJI_0877-0-00-08-068.jpg,1613,907,car,1522,509,1573,565
DJI_0877-0-00-08-068.jpg,1613,907,car,1474,506,1521,563
DJI_0877-0-00-08-068.jpg,1613,907,car,1431,511,1470,567
DJI_0877-0-00-08-068.jpg,1613,907,car,1389,504,1426,564
DJI_0877-0-00-08-068.jpg,1613,907,car,1348,497,1377,554
DJI_0877-0-00-08-068.jpg,1613,907,car,1314,487,1343,544
DJI_0877-0-00-08-068.jpg,1613,907,car,1279,487,1314,547
DJI_0877-0-00-08-068.jpg,1613,907,car,1227,485,1260,544
DJI_0877-0-00-08-068.jpg,1613,907,car,1186,484,1229,548
DJI_0877-0-00-08-068.jpg,1613,907,car,1153,483,1190,541
DJI_0877-0-00-08-068.jpg,1613,907,car,1125,480,1155,535
DJI_0877-0-00-08-068.jpg,1613,907,car,1083,480,1119,544
DJI_0877-0-00-08-068.jpg,1613,907,car,1046,480,1087,536
DJI_0877-0-00-08-068.jpg,1613,907,car,1437,155,1496,182
DJI_0877-0-00-08-068.jpg,1613,907,car,718,409,745,464
DJI_0877-0-00-08-068.jpg,1613,907,car,698,241,721,292
DJI_0877-0-00-08-068.jpg,1613,907,car,672,35,719,79
DJI_0877-0-00-08-068.jpg,1613,907,car,670,1,723,43
DJI_0877-0-00-08-068.jpg,1613,907,car,338,63,395,112
DJI_0877-0-00-08-068.jpg,1613,907,car,973,570,1031,595
DJI_0877-0-00-08-068.jpg,1613,907,car,1588,613,1613,638
DJI_0877-0-00-08-068.jpg,1613,907,car,1448,579,1517,607
DJI_0877-0-00-08-068.jpg,1613,907,car,1335,577,1398,603
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,650,327,673,367
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,636,265,654,302
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,647,136,668,177
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,653,88,673,129
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,656,49,676,86
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,658,11,678,47
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,861,185,879,221
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,769,211,809,236
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,794,386,835,407
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,524,404,573,427
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,725,432,766,452
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,871,388,908,405
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,923,411,1018,436
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,928,387,965,405
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,973,388,1007,406
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1014,388,1048,407
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1072,437,1110,457
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1102,388,1143,412
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1187,393,1228,413
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1188,501,1228,517
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1248,479,1280,514
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,230,491,267,510
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,272,492,313,512
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,437,494,475,514
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,101,491,141,511
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,62,492,97,510
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,22,491,57,511
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,12,427,51,447
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,166,302,187,336
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,167,264,185,299
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,168,186,191,221
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,169,232,192,262
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,175,111,199,145
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,181,68,202,106
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,182,1,209,39
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,577,494,614,513
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,266,428,306,448
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,226,402,277,421
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,468,301,486,336
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,551,269,588,289
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,381,288,398,325
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,328,243,350,277
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,419,292,438,326
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,400,287,418,323
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,403,221,419,253
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1003,214,1024,248
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,858,42,876,74
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,859,8,889,41
Перекресток. Вид сверху. Дорожное движение. 06.jpg,1280,720,car,1010,1,1031,24
DJI Spark- Crossroads in Prague 048.jpg,1280,720,car,251,399,286,464
DJI Spark- Crossroads in Prague 048.jpg,1280,720,car,245,60,286,122
DJI Spark- Crossroads in Prague 048.jpg,1280,720,car,205,382,242,459
Tory-Road-0-00-18-357.jpg,1280,720,car,1,476,45,497
Tory-Road-0-00-18-357.jpg,1280,720,car,1,438,37,460
Tory-Road-0-00-18-357.jpg,1280,720,car,1,396,73,433
Tory-Road-0-00-18-357.jpg,1280,720,car,82,471,147,496
Tory-Road-0-00-18-357.jpg,1280,720,car,72,437,129,460
Tory-Road-0-00-18-357.jpg,1280,720,car,118,403,179,425
Tory-Road-0-00-18-357.jpg,1280,720,car,190,405,249,426
Tory-Road-0-00-18-357.jpg,1280,720,car,176,436,234,459
Tory-Road-0-00-18-357.jpg,1280,720,car,195,465,256,495
Tory-Road-0-00-18-357.jpg,1280,720,car,505,361,559,383
Tory-Road-0-00-18-357.jpg,1280,720,car,1067,515,1097,580
Tory-Road-0-00-18-357.jpg,1280,720,car,518,317,573,338
Tory-Road-0-00-18-357.jpg,1280,720,car,897,257,950,293
Tory-Road-0-00-18-357.jpg,1280,720,car,408,196,444,259
Tory-Road-0-00-18-357.jpg,1280,720,car,447,123,475,181
Tory-Road-0-00-18-357.jpg,1280,720,car,502,113,526,175
Tory-Road-0-00-18-357.jpg,1280,720,car,534,124,559,189
Tory-Road-0-00-18-357.jpg,1280,720,car,572,100,594,160
Tory-Road-0-00-18-357.jpg,1280,720,car,532,55,557,114
Tory-Road-0-00-18-357.jpg,1280,720,car,492,21,519,85
Tory-Road-0-00-18-357.jpg,1280,720,car,533,1,559,36
Tory-Road-0-00-18-357.jpg,1280,720,car,573,1,595,50
Tory-Road-0-00-18-357.jpg,1280,720,car,782,136,822,192
Tory-Road-0-00-18-357.jpg,1280,720,car,454,25,481,90
Tory-Road-0-00-18-357.jpg,1280,720,car,712,312,765,336
Tory-Road-0-00-18-357.jpg,1280,720,car,833,557,871,613
Tory-Road-0-00-18-357.jpg,1280,720,car,1220,281,1280,308
Tory-Road-0-00-18-357.jpg,1280,720,car,209,318,271,341
Tory-Road-0-00-22-038.jpg,1280,720,car,225,436,290,464
Tory-Road-0-00-22-038.jpg,1280,720,car,118,395,230,431
Tory-Road-0-00-22-038.jpg,1280,720,car,1,405,55,429
Tory-Road-0-00-22-038.jpg,1280,720,car,370,373,429,409
Tory-Road-0-00-22-038.jpg,1280,720,car,439,416,497,449
Tory-Road-0-00-22-038.jpg,1280,720,car,366,470,429,495
Tory-Road-0-00-22-038.jpg,1280,720,car,1067,521,1097,586
Tory-Road-0-00-22-038.jpg,1280,720,car,389,243,440,299
Tory-Road-0-00-22-038.jpg,1280,720,car,447,123,475,181
Tory-Road-0-00-22-038.jpg,1280,720,car,505,117,529,179
Tory-Road-0-00-22-038.jpg,1280,720,car,534,124,559,189
Tory-Road-0-00-22-038.jpg,1280,720,car,574,102,596,162
